"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Ehire Adrianza","","45","196","174","43","9","1","4","23","19","16","40","3","1","1","",".245",".316",".378",".694",".303","","-1.4","-0.2","","0.2","","999.0","8418"
"Charlie Culberson","","42","182","167","41","9","1","4","19","18","11","45","2","3","1","",".243",".293",".385",".678",".292","","-0.5","0.1","","0.2","","597.2","3298"
"Marwin Gonzalez","","83","357","321","75","14","0","9","37","39","26","83","6","3","2","",".234",".301",".366",".667",".292","","0.0","-0.8","","0.2","","999.0","5497"
"Daniel Robertson","","34","147","126","28","5","0","3","16","12","16","38","3","1","1","",".220",".321",".328",".648",".291","","-0.4","-0.2","","0.2","","999.0","14145"
"Drew Ellis","ARI","29","126","110","24","6","0","4","14","13","12","35","2","0","0","",".215",".303",".371",".674",".296","","-0.1","-0.2","","0.1","","999.0","19873"
"Colton Welker","COL","104","448","405","104","21","2","14","52","52","32","97","4","3","1","",".256",".313",".419",".731",".314","","0.7","-0.5","","0.1","","592.2","19961"
"Yonny Hernandez","TEX","10","42","36","9","1","0","0","5","3","5","8","1","2","1","",".242",".344",".310",".653",".298","","0.2","0.0","","0.1","","599.7","19432"
"Colin Moran","","78","336","302","76","14","1","11","35","44","29","81","3","1","1","",".251",".318",".408",".726",".314","","-2.6","-1.4","","0.1","","581.6","16909"
"Jason Vosler","SFG","8","35","31","7","2","0","1","4","4","3","8","0","0","0","",".239",".310",".411",".721",".311","","0.0","0.0","","0.1","","999.0","16686"
"Pablo Reyes","MIL","11","49","44","11","2","0","1","6","5","4","10","0","1","1","",".238",".300",".380",".680",".295","","0.2","-0.1","","0.1","","999.0","16357"
"Emmanuel Rivera","KCR","23","98","91","23","4","0","3","11","11","5","20","1","1","0","",".253",".298",".400",".698",".300","","-0.1","0.0","","0.1","","999.0","19890"
"Alejo Lopez","CIN","8","35","32","9","2","0","0","4","3","2","4","0","0","0","",".277",".334",".372",".706",".310","","0.1","0.0","","0.1","","999.0","21127"
