"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Jose Barrero","CIN","37","161","146","37","8","1","5","19","20","10","39","3","4","1","",".251",".311",".415",".725",".313","","0.3","0.2","","0.5","","428.6","23378"
"Niko Goodrum","","57","245","219","48","11","1","6","27","24","22","76","2","8","3","",".220",".295",".368",".663",".290","","-0.6","0.5","","0.4","","562.8","12092"
"Tyler Wade","LAA","75","322","287","66","13","2","4","38","25","28","79","3","18","6","",".229",".302",".332",".634",".281","","-1.1","1.2","","0.4","","462.7","15730"
"Danny Mendick","CHW","39","168","150","35","6","0","4","18","16","15","36","2","2","1","",".235",".307",".359",".665",".293","","0.6","-0.3","","0.4","","999.0","18889"
"Sergio Alcántara","CHC","57","245","214","48","7","1","4","26","20","26","62","2","3","1","",".226",".313",".330",".644",".286","","1.3","-0.1","","0.4","","999.0","16417"
"Andrew Velazquez","LAA","34","147","134","31","7","1","3","18","15","11","42","1","8","2","",".234",".293",".374",".667",".290","","-0.4","0.6","","0.4","","999.0","14196"
"Nick Allen","OAK","58","252","231","55","11","1","4","27","23","14","51","2","5","3","",".236",".286",".345",".630",".276","","0.2","-0.3","","0.3","","999.0","sa3004723"
"Asdrúbal Cabrera","CIN","62","266","237","56","13","1","8","30","35","25","60","2","1","0","",".237",".311",".401",".712",".308","","-1.3","-0.9","","0.3","","599.8","4962"
"Vimael Machín","OAK","42","182","160","37","7","1","3","20","16","17","35","2","1","0","",".233",".312",".342",".654",".288","","-0.7","-0.1","","0.3","","999.0","17684"
"Jack Mayfield","LAA","36","154","141","33","7","0","5","17","19","9","34","2","2","1","",".232",".282",".400",".682",".293","","-0.5","0.0","","0.3","","999.0","15402"
"Michael Stefanic","LAA","16","70","64","17","3","0","2","8","7","5","10","1","1","0","",".270",".329",".388",".717",".313","","0.2","-0.1","","0.2","","999.0","sa3008479"
"Cole Tucker","PIT","81","350","311","72","15","3","6","38","31","32","80","2","7","3","",".230",".305",".358",".664",".291","","0.6","0.0","","0.2","","561.5","17326"
