"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Mark Kolozsvary","CIN","13","51","45","9","2","0","1","5","5","4","17","1","0","0","",".189",".274",".328",".602",".267","","0.4","-0.1","","0.0","","999.0","sa3004996"
"Rafael Marchan","PHI","16","64","58","13","2","0","1","7","5","4","12","1","0","0","",".229",".288",".330",".618",".273","","0.3","-0.1","","0.0","","999.0","21646"
"Carlos Pérez","COL","5","19","18","4","1","0","1","2","2","1","3","0","0","0","",".224",".275",".393",".668",".287","","0.2","0.0","","0.0","","999.0","10642"
"Hunter Feduccia","LAD","3","13","12","3","0","0","0","1","1","1","3","0","0","0","",".229",".294",".363",".657",".287","","-0.1","0.0","","0.0","","999.0","sa3007872"
"Zack Collins","CHW","19","77","65","13","3","0","3","9","9","10","25","1","0","0","",".205",".318",".373",".691",".304","","-1.0","-0.1","","0.0","","592.7","19181"
"P.J. Higgins","CHC","2","6","6","1","0","0","0","1","1","1","1","0","0","0","",".227",".294",".332",".626",".277","","0.0","0.0","","0.0","","999.0","18433"
"Chadwick Tromp","ATL","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".220",".272",".372",".644",".278","","0.0","0.0","","0.0","","999.0","16953"
"Brett Sullivan","MIL","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".231",".284",".358",".642",".280","","0.0","0.0","","0.0","","999.0","sa857232"
"Seby Zavala","CHW","29","115","105","19","4","0","4","12","13","8","46","1","0","0","",".185",".247",".345",".591",".257","","-0.9","-0.1","","0.0","","598.5","18887"
"Sebastian Rivero","KCR","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".221",".273",".333",".606",".264","","0.0","0.0","","0.0","","999.0","21735"
"Chance Sisco","NYM","19","77","67","14","3","0","2","8","8","7","22","2","0","0","",".214",".309",".356",".665",".295","","-0.8","-0.1","","0.0","","999.0","15694"
"Sandy León","CLE","47","186","168","32","5","0","4","16","16","13","52","2","0","0","",".189",".252",".301",".554",".245","","0.6","-0.6","","0.0","","999.0","5273"
"Andrew Knapp","CIN","40","160","137","29","6","1","3","15","15","19","50","2","0","0","",".212",".312",".334",".647",".288","","-2.4","-0.1","","0.0","","600.9","14942"
"Collin Theroux","","5","19","17","3","0","0","0","2","1","2","9","0","0","0","",".152",".232",".260",".492",".223","","0.1","0.0","","0.0","","999.0","sa876102"
"Jose Lobaton","","16","64","57","11","3","0","2","6","6","6","20","0","0","0","",".195",".268",".332",".600",".265","","-0.6","-0.1","","0.0","","999.0","4243"
"Fabian Pena","SFG","5","19","18","4","1","0","0","2","2","1","5","0","0","0","",".204",".242",".338",".580",".251","","-0.4","0.0","","0.0","","999.0","sa3007303"
"Jorge Alfaro","SDP","105","444","411","99","17","1","12","42","50","20","141","9","8","3","",".242",".291",".379",".669",".290","","-2.3","-0.5","","-0.1","","389.5","12180"
"Kurt Suzuki","","36","141","126","29","6","0","4","13","14","8","25","4","0","0","",".233",".297",".364",".662",".290","","-2.7","-0.4","","-0.1","","599.8","8259"
"Drew Butera","","21","83","74","13","3","0","1","7","6","6","26","1","1","0","",".174",".248",".276",".524",".235","","-0.5","-0.1","","-0.3","","999.0","3411"
