"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Jorge Soler","","146","630","545","129","28","0","35","83","96","72","168","8","1","0","",".236",".331",".481",".813",".347","","-1.9","-1.6","","2.0","","197.4","14221"
"Akil Baddoo","DET","143","616","547","138","26","8","18","80","69","61","153","2","23","6","",".253",".328",".430",".758",".326","","-2.0","1.9","","2.0","","156.1","22168"
"Andrew Benintendi","KCR","130","560","500","134","29","3","16","69","67","49","108","4","11","5","",".267",".335",".436",".771",".332","","1.2","-0.5","","2.0","","192.9","17901"
"J.D. Martinez","BOS","154","665","592","160","35","2","30","89","98","62","155","5","1","0","",".270",".342",".488",".830",".350","","-0.1","-1.9","","2.0","","89.4","6184"
"Avisaíl García","MIA","139","602","545","141","25","1","23","71","78","41","142","11","8","4","",".259",".321",".437",".758",".324","","1.9","-0.8","","1.9","","174.3","5760"
"Austin Hays","BAL","136","588","543","140","28","3","25","76","78","31","123","8","7","4","",".257",".306",".456",".762",".325","","2.9","-0.7","","1.9","","236.8","19363"
"Kevin Kiermaier","TBR","120","518","468","109","22","7","10","59","52","39","127","6","13","5","",".233",".298",".374",".671",".291","","6.8","0.6","","1.9","","577.3","11038"
"Tommy Pham","","130","560","481","121","23","2","17","73","58","70","124","5","15","5","",".252",".350",".413",".763",".333","","-1.1","0.8","","1.9","","266.4","2967"
"Daulton Varsho","ARI","105","438","393","99","20","3","16","56","53","37","91","4","9","3","",".252",".321",".442",".764",".327","","-1.7","0.8","","1.8","","95.4","19918"
"Lourdes Gurriel Jr.","TOR","138","595","551","150","31","2","26","73","87","33","121","5","4","3","",".273",".316",".476",".793",".336","","-0.6","-1.5","","1.8","","142.6","19238"
"Robbie Grossman","DET","139","602","510","123","24","3","17","75","59","79","132","6","15","5","",".241",".348",".402",".750",".328","","-0.5","-0.4","","1.8","","185.2","5254"
"Joc Pederson","","123","532","470","112","22","3","25","70","75","46","125","10","3","3","",".238",".317",".458",".775",".331","","0.0","-0.8","","1.8","","445.0","11899"
"Brian Anderson","MIA","120","518","455","112","22","1","16","56","59","48","125","11","5","2","",".247",".332",".408",".739",".321","","0.0","0.2","","1.8","","433.4","18289"
"Julio Rodríguez","SEA","63","273","248","69","13","1","10","35","34","20","61","3","8","3","",".277",".337",".455",".792",".340","","3.9","0.3","","1.7","","268.3","sa3005720"
"Jake Meyers","HOU","107","462","418","103","21","2","15","54","56","31","116","7","9","4","",".247",".307",".415",".722",".312","","1.8","-0.3","","1.7","","573.0","20308"
"Jesús Sánchez","MIA","125","539","488","122","18","5","24","63","72","40","139","6","2","2","",".250",".312",".450",".762",".324","","2.8","-1.3","","1.7","","225.4","19913"
"Trey Mancini","BAL","149","644","577","152","32","2","26","82","84","54","143","8","1","0","",".264",".334",".461",".795",".339","","-0.8","-0.7","","1.7","","193.0","15149"
"Manuel Margot","TBR","115","497","450","114","23","3","12","59","56","40","88","2","16","8","",".254",".315",".401",".716",".309","","2.9","0.0","","1.7","","362.8","14712"
"Eddie Rosario","","136","588","547","147","27","3","26","75","90","33","88","1","9","3","",".268",".310",".468",".777",".329","","-1.2","0.1","","1.6","","173.9","12155"
"Ryan Mountcastle","BAL","146","630","578","152","28","2","30","79","94","40","162","5","4","2","",".263",".313",".474",".788",".333","","-0.1","-0.7","","1.6","","113.5","18373"
"Hunter Renfroe","MIL","134","581","523","122","25","0","34","78","90","49","152","3","3","1","",".234",".300",".477",".777",".329","","1.4","-1.1","","1.6","","163.2","15464"
"Josh Rojas","ARI","130","560","495","122","27","3","13","68","51","56","128","3","14","6","",".248",".325",".391",".716",".312","","-0.4","0.5","","1.5","","236.5","19734"
"Brandon Marsh","LAA","120","518","464","114","21","4","10","53","44","46","152","4","10","3","",".246",".318",".372",".690",".302","","1.6","0.8","","1.5","","378.3","20202"
"Bryan De La Cruz","MIA","122","525","479","128","22","3","13","57","54","35","117","4","4","3","",".268",".321",".408",".728",".315","","-2.5","-1.0","","1.5","","470.8","19600"
"Nelson Cruz","","133","574","509","133","20","1","31","76","89","51","137","8","2","0","",".262",".335",".487",".822",".344","","0.0","-2.0","","1.5","","175.3","2434"
"Adolis García","TEX","146","630","588","136","27","3","28","74","88","30","193","8","13","6","",".231",".275",".431",".706",".301","","4.2","-0.9","","1.5","","166.0","19287"
"Adam Duvall","ATL","146","630","573","130","23","3","38","79","114","44","185","7","4","1","",".227",".289",".474",".763",".322","","4.6","-0.8","","1.5","","226.1","10950"
"Andrew Vaughn","CHW","115","497","440","110","24","0","19","60","58","44","106","8","2","2","",".251",".328",".440",".768",".332","","-0.3","-1.0","","1.4","","238.0","26197"
"Jarred Kelenic","SEA","131","567","508","117","24","2","24","68","75","49","141","5","13","6","",".231",".302",".428",".730",".313","","-4.8","0.0","","1.4","","135.6","22558"
"Chad Pinder","OAK","121","525","477","117","27","2","18","63","64","36","127","6","2","1","",".246",".306",".423",".729",".313","","-1.2","-1.0","","1.4","","568.2","15191"
"Anthony Santander","BAL","130","560","519","132","30","1","24","67","76","30","118","5","2","2","",".255",".300",".458",".758",".321","","0.8","-0.7","","1.4","","271.0","14551"
"Kyle Lewis","SEA","125","539","482","115","21","1","18","60","61","51","156","2","5","2","",".239",".313",".399",".712",".310","","-0.2","-0.1","","1.3","","306.6","19508"
"Rafael Ortega","CHC","115","497","445","111","22","3","14","61","50","45","105","3","14","6","",".250",".321",".405",".726",".315","","-1.4","-0.3","","1.3","","333.6","10323"
"Garrett Cooper","MIA","115","497","438","115","20","2","17","59","61","48","130","7","2","1","",".262",".344",".431",".774",".337","","-0.8","-1.7","","1.3","","510.1","15279"
"LaMonte Wade Jr.","SFG","133","574","500","121","24","3","20","71","68","59","129","8","8","3","",".242",".329",".422",".751",".325","","-3.4","-0.6","","1.3","","308.1","18126"
"Victor Robles","WSN","117","504","442","105","25","2","10","58","46","37","119","17","16","6","",".237",".319",".375",".694",".304","","3.0","0.1","","1.3","","441.9","18363"
"Steven Kwan","CLE","86","371","337","96","16","3","9","45","39","28","42","3","5","3","",".284",".341",".431",".772",".334","","-0.7","-0.4","","1.3","","510.9","sa3008536"
"David Peralta","ARI","120","518","470","127","25","5","13","56","63","40","97","4","2","1","",".270",".330",".426",".756",".325","","1.4","-0.3","","1.3","","474.7","2136"
"Gavin Sheets","CHW","110","476","431","110","20","0","22","59","71","36","107","3","2","1","",".256",".316",".457",".773",".331","","-0.1","-0.9","","1.3","","487.0","19901"
"Wil Myers","SDP","146","630","560","134","29","2","23","72","78","63","183","3","11","5","",".239",".317",".423",".740",".319","","-3.0","-0.2","","1.2","","293.1","10047"
