"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Arquímedes Gamboa","","113","415","368","74","13","3","7","43","30","43","120","1","10","3","",".201",".286",".310",".595",".267","","0.4","9.8","","-16.7","14.4","1.1","","999.0","sa877497"
"Juniel Querecuto","","102","412","384","101","14","4","9","50","43","22","75","1","7","3","",".263",".302",".391",".693",".298","","-0.2","3.9","","-10.7","8.4","1.1","","999.0","12140"
"Aledmys Díaz","HOU","92","338","308","77","18","0","9","35","45","20","59","7","1","1","",".250",".308",".396",".704",".303","","-0.5","1.4","","-3.2","2.6","1.1","","569.9","15937"
"Austin Martin","MIN","101","448","377","87","16","2","5","61","26","47","96","18","10","3","",".231",".342",".324",".665",".303","","0.3","-1.4","","-4.7","0.3","1.1","","600.2","sa3014454"
"Abiatal Avelino","","120","484","448","113","17","4","8","60","46","28","86","3","14","4","",".252",".299",".362",".661",".288","","0.7","2.9","","-13.5","8.2","1.1","","999.0","15496"
"Elvis Andrus","OAK","136","549","507","127","24","3","6","62","43","31","82","4","13","4","",".250",".296",".345",".641",".280","","0.5","-0.5","","-13.5","5.6","1.1","","563.4","8709"
"Jazz Chisholm Jr.","MIA","127","511","464","106","16","6","19","66","55","38","161","5","20","8","",".228",".292",".412",".704",".303","","0.3","-3.2","","-5.0","-1.3","1.1","","79.7","20454"
"Jordan Groshans","TOR","86","357","324","78","17","1","9","49","35","27","78","2","0","0","",".241",".301",".383",".684",".298","","-0.3","1.9","","-7.4","5.8","1.1","","600.4","sa3006893"
"Jose Rodriguez","CHW","121","543","521","136","22","2","17","63","56","17","90","1","17","6","",".261",".285",".409",".693",".295","","0.5","-5.7","","-8.4","0.3","1.0","","999.0","sa3005788"
"Brice Turang","MIL","125","529","477","112","20","3","10","72","46","45","111","2","15","6","",".235",".302",".352",".654",".286","","0.1","3.1","","-16.3","8.9","1.0","","999.0","sa3008294"
"Willi Castro","DET","139","551","507","128","23","7","12","65","51","27","128","9","12","4","",".252",".300",".396",".696",".300","","0.3","-3.3","","-7.4","-1.3","1.0","","525.6","17338"
"Kevin Newman","PIT","145","566","526","139","25","4","7","57","47","30","53","3","9","4","",".264",".307",".367",".674",".292","","-0.3","-1.4","","-13.7","4.8","1.0","","594.3","17696"
"Wilfredo Tovar","","110","420","387","92","15","2","6","47","36","26","63","2","6","4","",".238",".287",".333",".620",".272","","-0.8","5.8","","-14.6","10.4","1.0","","999.0","10416"
"Matt Reynolds","NYM","98","383","337","76","18","2","5","46","28","37","104","3","4","2","",".226",".305",".335",".641",".283","","-0.3","2.1","","-9.4","6.4","1.0","","999.0","13788"
"Bryson Brigman","MIA","112","451","407","95","17","3","5","43","28","33","83","4","7","4","",".233",".295",".327",".622",".275","","-0.6","5.2","","-15.5","10.2","1.0","","999.0","sa829857"
"Yolbert Sanchez","CHW","107","415","399","110","11","0","9","44","36","15","60","1","3","0","",".276",".304",".371",".675",".293","","0.2","1.4","","-7.4","2.9","1.0","","999.0","sa3011471"
"Christian Koss","BOS","102","457","422","102","19","3","10","49","40","25","100","4","7","3","",".242",".289",".372",".661",".287","","-0.2","3.0","","-14.0","8.0","1.0","","999.0","sa3011227"
"C.J. Hinojosa","","112","458","427","108","24","1","9","54","43","24","84","1","3","2","",".253",".292",".377",".669",".289","","-0.6","3.6","","-10.9","5.2","1.0","","999.0","sa658616"
"Jonathan Araúz","BOS","111","401","359","84","17","1","10","51","42","33","81","1","2","1","",".234",".298",".370",".668",".292","","-0.3","5.0","","-10.7","6.4","0.9","","999.0","20275"
"Starlin Castro","","121","499","463","126","25","2","11","48","58","29","86","1","1","2","",".272",".313",".406",".719",".308","","-1.0","-1.4","","-7.7","0.4","0.9","","596.7","4579"
"Eddys Leonard","LAD","110","502","464","107","18","2","20","58","64","31","136","6","5","2","",".231",".287",".407",".694",".299","","-0.2","-5.3","","-7.7","0.2","0.9","","999.0","sa3005554"
"Didi Gregorius","PHI","103","416","379","93","17","3","15","49","62","26","64","6","3","2","",".245",".300",".425",".725",".309","","-0.5","-3.7","","-5.6","0.9","0.9","","459.2","6012"
"Brendon Davis","LAA","126","521","474","108","20","2","20","51","58","34","145","7","8","3","",".228",".287",".405",".692",".298","","0.0","-2.4","","-8.2","-0.5","0.9","","999.0","sa875089"
"Gunnar Henderson","BAL","107","468","424","90","20","2","16","55","64","36","149","2","9","1","",".212",".275",".382",".657",".284","","1.1","0.4","","-12.4","5.5","0.9","","999.0","sa3011484"
"Drew Maggi","","99","404","358","78","14","2","9","47","37","33","117","11","9","5","",".218",".303",".344",".646",".288","","-0.6","0.9","","-10.3","5.4","0.9","","999.0","sa549144"
"Ronny Mauricio","NYM","119","501","474","105","17","3","18","51","57","22","131","3","8","6","",".222",".260",".384",".644",".276","","-1.2","2.5","","-16.0","8.1","0.9","","999.0","sa3006887"
"Cole Tucker","PIT","118","462","411","92","19","5","8","52","38","44","109","3","10","4","",".224",".302",".353",".655",".288","","0.0","0.6","","-12.4","5.7","0.9","","561.5","17326"
"Xavier Edwards","TBR","99","426","387","100","15","3","3","54","30","30","65","2","15","8","",".258",".313",".336",".649",".286","","-0.7","1.1","","-8.8","2.7","0.8","","999.0","sa3007018"
"J.C. Correa","HOU","111","488","462","120","22","1","9","64","47","22","68","2","5","5","",".260",".296",".370",".666",".289","","-1.5","0.8","","-10.9","2.6","0.8","","999.0","sa3014823"
"Mason McCoy","BAL","120","508","470","105","18","5","8","50","39","31","137","1","10","2","",".223",".271",".334",".605",".264","","0.8","7.6","","-22.2","13.2","0.8","","999.0","sa3002758"
"Brad Miller","","118","341","300","69","11","2","17","44","48","38","103","2","2","1","",".230",".320",".450",".770",".329","","-0.3","1.7","","1.3","-4.6","0.8","","552.4","12775"
"Freddy Galvis","","123","478","441","107","20","1","14","55","54","29","103","4","3","2","",".243",".294",".388",".681",".294","","-0.6","-1.1","","-12.2","4.2","0.8","","597.3","6609"
