Name,dollar_value,status,ADP,Dollars,ADP2,reg_estimate,sean_value
JaCoby Jones,13.830852310811629,,589.3,$5.9,347274.48999999993,3.734883171604176,10.095969139207453
Chris Sale,13.86,,597.2,$19.0,356647.84,3.8173951719804613,10.042604828019538
Kole Calhoun,13.874633124398686,,429.2,$9.0,184212.63999999998,4.015104130424435,9.859528993974251
Jesus Aguilar,13.261085458667363,,483.1,$7.3,233385.61000000002,3.5052548330444857,9.755830625622878
Miguel Rojas,13.325894872096438,,589.8,$5.5,347864.0399999999,3.7398368731859684,9.58605799891047
Maikel Franco,12.902094888060402,,529.1,$6.7,279946.81,3.4037055221110304,9.498389365949372
Stephen Piscotty,12.859652446405661,,533,$8.2,284089,3.4092223268868302,9.450430119518831
Roman Quinn,12.848376519749655,,560.4,$2.5,314048.16,3.5102346440749663,9.338141875674689
Mauricio Dubon,14.304260622745426,,367.4,$8.9,134982.75999999998,5.118706505489028,9.185554117256398
Nate Lowe,12.672494513890612,,557.8,$6.4,311140.83999999997,3.4959690363883116,9.1765254775023
Eric Hosmer,17.766672449387848,,253.7,$13.4,64363.689999999995,8.597574076893178,9.16909837249467
Austin Hays,17.081198231334916,,271.5,$12.0,73712.25,7.929039472260852,9.152158759074064
Chris Martin,12.84,,592.6,$8.9,351174.76,3.7682483184680304,9.07175168153197
Brandon Belt,12.668248863704413,,573.6,$6.5,329016.96,3.5977990648018476,9.070449798902565
Ender Inciarte,12.271456598803553,,489.3,$4.1,239414.49000000002,3.4736558488900293,8.797800749913524
Willy Adames,13.08352000813548,,403.5,$4.9,162812.25,4.406700270678703,8.676819737456777
Nicky Lopez,12.250410501979397,,574.2,$2.5,329705.6400000001,3.602380297344716,8.648030204634681
Dexter Fowler,12.342234393049015,,589.6,$5.1,347628.16000000003,3.737851037251801,8.604383355797214
Trey Mancini,12.979442752275379,,403,$9.8,162409,4.415269780113428,8.56417297216195
Jason Heyward,12.046879048030652,,560.9,$7.6,314608.81,3.513090542122802,8.53378850590785
Aaron Bummer,11.780000000000001,,516.9,$8.7,267185.61,3.4007056303152687,8.379294369684732
Jose Iglesias,11.990339160767917,,576.7,$4.3,332582.8900000001,3.6220313260445405,8.368307834723376
Luis Urias,11.76533872947332,,511.7,$3.4,261836.88999999998,3.4059947825040506,8.35934394696927
Isiah Kiner-Falefa,14.205494368339664,,335.8,$4.7,112761.64000000001,5.897248225633826,8.308246142705839
Joey Votto,15.95216254852689,,279.1,$11.2,77896.81000000001,7.657610187503751,8.294552361023138
Niko Goodrum,15.737128072502493,,283.6,$4.3,80428.96,7.500847915493933,8.23628015700856
Edwin Diaz,23.69,,113.7,$18.1,12927.69,15.459333412280179,8.230666587719822
Franchy Cordero,11.64873042896495,,491.3,$5.3,241375.69,3.464653077259296,8.184077351705653
Gregory Polanco,12.780667247417865,,391.7,$5.8,153428.88999999998,4.618619624937489,8.162047622480376
Evan Longoria,11.653396898470488,,566,$4.2,320356,3.5442938257030665,8.109103072767422
Ian Desmond,11.733888238583985,,587.4,$5.1,345038.75999999995,3.7163901085039033,8.017498130080082
Richard Rodriguez,11.82,,596.5,$6.3,355812.25,3.8097181367515187,8.010281863248482
Alex Dickerson,11.257843436502016,,584.6,$7.9,341757.16000000003,3.690092436194477,7.567751000307539
Nick Solak,15.032537363617312,,284.6,$10.3,80997.16000000002,7.466411091013981,7.566126272603331
Amir Garrett,11.059999999999999,,592.7,$5.7,351293.29000000004,3.7692840635660874,7.290715936433911
Jean Segura,17.66122755458129,,209.4,$11.5,43848.36,10.461091713046782,7.200135841534509
Corey Dickerson,13.983074978961422,,300.5,$10.7,90300.25,6.938370799347111,7.044704179614311
Tommy La Stella,13.102787794094086,,329.3,$7.3,108438.49,6.075367807733909,7.027419986360177
Matt Carpenter,11.096280493275497,,421.2,$1.9,177409.44,4.126723250199146,6.969557243076351
Chad Pinder,10.656059377557956,,597.7,$2.8,357245.29000000004,3.822922321587116,6.833137055970839
Craig Kimbrel,21.15,,132.5,$13.6,17556.25,14.372500230631331,6.777499769368667
Rio Ruiz,10.463495749294925,,591,$3.2,349281,3.7518738372317344,6.71162191206319
Jordan Luplow,10.443444704274473,,594.4,$4.4,353311.36,3.787113850607235,6.656330853667238
Didi Gregorius,16.071092672868968,,231.9,$9.5,53777.61,9.479005254277219,6.592087418591749
Brandon Crawford,10.22892826170507,,591,$1.0,349281,3.7518738372317344,6.4770544244733355
Hunter Renfroe,14.35411093725034,,266.2,$10.1,70862.43999999999,8.12328855000687,6.230822387243469
Justin Upton,16.588939834202233,,210.1,$12.5,44142.009999999995,10.429430213770665,6.159509620431567
Lorenzo Cain,18.02298450771891,,176.8,$12.0,31258.240000000005,12.01441343426678,6.00857107345213
David Bote,9.67300462194918,,585.6,$0.1,342927.36000000004,3.6993538029756357,5.973650818973545
Jake Bauers,9.654674655050037,,590.8,$2.7,349044.63999999996,3.7498531588859265,5.904821496164111
Brett Gardner,9.857359023842402,,432.4,$2.5,186969.75999999998,3.9730580492501,5.8843009745923025
Anthony Rizzo,23.210493177470088,,82,$21.0,6724,17.408122221648615,5.802370955821473
Jorge Polanco,18.543248644436545,,160.3,$13.0,25696.090000000004,12.859411333879237,5.683837310557308
Aroldis Chapman,22.84,,84.7,$16.5,7174.09,17.236453386521827,5.603546613478173
Bradley Zimmer,9.385362629768906,,595.7,$0.8,354858.49000000005,3.801031488233244,5.584331141535662
Drew Smyly,9.04,,559.5,$9.5,313040.25,3.505185488919417,5.534814511080582
Renato Nunez,12.34819739077503,,302.1,$6.2,91264.41000000002,6.8872671433802,5.460930247394831
Ji-Man Choi,8.855333384899083,,558.3,$1.0,311698.88999999996,3.498636204706446,5.356697180192637
Sam Hilliard,14.01656338214566,,249.9,$6.5,62450.01,8.746252999934907,5.270310382210754
Joc Pederson,15.64437953965599,,210.1,$12.3,44142.009999999995,10.429430213770665,5.214949325885325
D.J. Stewart,8.906889988769244,,598.6,$2.7,358321.96,3.832962652209628,5.073927336559616
Adam Frazier,8.520634994262737,,557.3,($1.1),310583.2899999999,3.4933381622489685,5.027296832013769
Shohei Ohtani,19.46324448089305,,130.5,$14.9,17030.25,14.485681813055995,4.977562667837054
Shohei Ohtani,19.46324448089305,,130.5,$0.6,17030.25,14.485681813055995,4.977562667837054
Daniel Vogelbach,8.486418439251246,,566.8,$3.2,321262.23999999993,3.5495310754692975,4.936887363781948
Giancarlo Stanton,23.333555221665595,,65.5,$22.9,4290.25,18.48020553910371,4.853349682561884
Avisail Garcia,15.604395762886583,,201.4,$11.3,40561.96,10.827989568746872,4.77640619413971
Brian Anderson,14.256132862533555,,225.5,$7.5,50850.25,9.750874787073645,4.50525807545991
Joey Wendle,8.132947291973585,,585.2,($3.7),342459.04000000004,3.6956318350573527,4.437315456916232
Albert Pujols,7.927176643273134,,562.1,($0.1),315956.41000000003,3.5200927776870508,4.407083865586083
Tommy Pham,21.285711910249514,,87.5,$17.3,7656.25,17.05954430709702,4.2261676031524935
Tommy Edman,18.658741699901388,,130.9,$11.0,17134.81,14.462999040022215,4.195742659879173
David Price,7.720000000000001,,567.4,$9.5,321942.75999999995,3.5535199870143357,4.166480012985665
Luis Arraez,12.805400746982672,,252.4,$7.8,63705.76,8.648202006824276,4.157198740158396
Hunter Harvey,10.09,,333.9,$3.4,111489.20999999999,5.948679527387094,4.141320472612906
Mitch Moreland,7.667331024835499,,572.4,($0.1),327641.75999999995,3.588793390568485,4.078537634267014
Nick Senzel,14.761820410229102,,201.6,$7.3,40642.56,10.818703884516552,3.9431165257125507
Joey Gallo,20.389783546487955,,97.1,$15.6,9428.409999999998,16.461639810012173,3.928143736475782
