"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"152","Ji-Man Choi","TBR","1b",-0.235728328752374,-0.798282364611212,-1.21793487319984,""
"153","Tom Murphy","SEA","catcher",-3.19551226816264,-0.821444766838704,-1.25327361882487,""
"154","Orlando Arcia","ATL","ss",-0.244064452133314,-0.826512235494563,-1.26100502699374,""
"155","Bruce Zimmermann","BAL","pitcher",-0.13,-0.85,-1.2968401759997,""
"156","Spencer Howard","TEX","pitcher",-0.14,-0.86,-1.31209711924676,""
"157","Tyler Duffey","MIN","pitcher",-0.15,-0.87,-1.32735406249381,""
"158","Darin Ruf","SFG","1b, of",-0.262447851808486,-0.888766712247356,-1.35598632886299,""
"159","Ha-Seong Kim","SDP","2b, 3b, ss",-0.268587701650797,-0.90955901106192,-1.38770902116195,""
"160","Heath Hembree",NA,"pitcher",-0.17,-0.91,-1.38838183548204,""
"161","JT Chargois","TBR","pitcher",-0.18,-0.93,-1.41889572197615,""
"162","Trevor Richards","TOR","pitcher",-0.2,-0.96,-1.46466655171731,""
"163","Justin Steele","CHC","pitcher",-0.26,-1.08,-1.64774987068198,""
"164","Matt Brash","SEA","pitcher",-0.27,-1.09,-1.66300681392903,""
"165","Trevor Williams","NYM","pitcher",-0.28,-1.1,-1.67826375717609,""
"166","Stephen Piscotty","OAK","of",-0.335640566954038,-1.13663023390361,-1.73415029715545,""
"167","Kyle Higashioka","NYY","catcher",-3.28887494713687,-1.13761287668127,-1.73564950966454,""
"168","Leody Taveras","TEX","of",-0.354423346479178,-1.20023719083007,-1.83119507034995,""
"169","Chris Archer",NA,"pitcher",-0.34,-1.23,-1.87660401938781,""
"170","Alex Colomé",NA,"pitcher",-0.35,-1.23,-1.87660401938781,""
"171","Reiver Sanmartin","CIN","pitcher",-0.35,-1.24,-1.89186096263486,""
"172","Nick Sandlin","CLE","pitcher",-0.35,-1.25,-1.90711790588192,""
"173","Brandon Marsh","LAA","of",-0.377680913595104,-1.27899779533895,-1.95135967765953,""
"174","Caleb Thielbar","MIN","pitcher",-0.39,-1.3,-1.98340262211719,""
