"playerid","NFBC_ADP"
"24591",NA
"19320",NA
"4314",147
"13853",351.69
"sa917946",NA
"14950",735.31
"22487",743.85
"20643",NA
"12777",NA
"16128",NA
"13684",NA
"22051",NA
"16269",222.38
"16852",747.15
"20020",NA
"6893",681
"19574",NA
"12037",602.85
"NA",NA
"14916",246.92
"5227",NA
"4930",NA
"16930",441
"20275",NA
"17578",NA
"15104",NA
"17464",NA
"16588",NA
"NA",84.92
"19753",NA
"7870",NA
"11265",201.31
"24584",NA
"10071",264.92
"NA",727.69
"19618",553.62
"20631",NA
"16424",719
"7593",605.62
"16511",201.15
"16122",72.46
"sa738245",NA
"13190",NA
"17585",NA
"4505",NA
"6547",NA
"19459",378.54
"12180",381.54
"NA",NA
"17505",NA
"14527",749.62
"17273",399.77
"20040",NA
"13152",78.38
"14221",203.15
"23378",NA
"15676",92.31
"sa3003090",NA
"5417",81.62
"17780",633
"5358",NA
"14168",79.23
"13151",NA
"17169",NA
"6399",748.08
"15463",NA
"23378",NA
"10231",613
"14524",720.38
"15767",NA
"7996",NA
"17821",NA
"NA",NA
"13593",NA
"19200",NA
"11423",552
"13510",3.23
"14552",NA
"sa736940",543.69
"sa916702",NA
"19911",528.85
"16725",589.69
"11589",NA
"18413",225.85
"15535",NA
"17035",NA
"13145",128.54
"5038",207.31
"20418",722.08
"16885",NA
"14212",26.92
"8202",380.15
"16794",742.62
"NA",291.23
"7882",750.62
"NA",365.69
"18839",613.77
"11528",NA
"sa829562",NA
"9308",NA
"3892",NA
"19734",227.69
"18323",745.15
"18335",445.62
"17359",NA
"9388",NA
"15170",642.54
"sa3007475",272.77
"NA",489.38
"5398",NA
"20123",5.46
"16703",621.31
"NA",276.92
"6797",NA
"14765",33.38
"18496",NA
"5702",NA
"10815",500.15
"19268",585.23
"sa875567",NA
"9054",NA
"sa828960",656.85
"15145",NA
"5235",169.38
"5222",584.38
"NA",98.38
"15490",NA
"4301",NA
"17285",732.23
"sa875069",NA
"18577",129.92
"19362",725.15
"sa918851",NA
"19610",163.54
"17468",721.31
"6033",NA
"NA",287.38
"15514",577.15
"3096",67.54
"sa549399",NA
"18498",NA
"14696",NA
"20003",423.62
"13613",87.08
"15964",NA
"12284",NA
"NA",NA
"14107",73.15
"19876",NA
"11038",575.38
"15240",NA
"17696",631.38
"12434",679.54
"13807",606.85
"sa915864",718.38
"15264",NA
"sa917996",NA
"9112",NA
"10472",NA
"9073",685
"sa829382",NA
"19731",NA
"NA",NA
"NA",NA
"18694",733.69
"11200",434.15
"12532",172.62
"sa857820",NA
"15429",105
"21455",511.23
"NA",NA
"8259",743.85
"27458",619.08
"19686",NA
"13182",NA
"sa3004861",NA
"14813",529.46
"15009",365.23
"16256",588.15
"19456",NA
"18063",NA
"10123",367.69
"19646",NA
"12049",285.15
"5517",610.31
"sa857840",NA
"18890",NA
"19508",309
"15071",NA
"NA",573.69
"20515",NA
"11753",NA
"16478",130.85
"16478",130.85
"9785",NA
"18345",10.69
"19665",640.38
