Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status,auction_value,NFBC_ADP,salary
Dylan Cease,CHW,pitcher,18525,165,3.94,1.26,0,11,201,7.8,13.650000000000002,drafted,20.825727532230534,70.92,10
Jordan Romano,TOR,pitcher,16122,65.5,3.29,1.17,27,5,84,7.71,13.490000000000002,drafted,20.58161644027765,72.46,6
Carlos Rodón,NA,pitcher,16137,139.5,3.64,1.16,0,10,172,7.61,13.300000000000002,drafted,20.2917345185836,138.77,14
Freddy Peralta,MIL,pitcher,18679,150,3.9,1.2,0,10,190,7.58,13.240000000000002,drafted,20.200192859101264,47.08,14
Will Smith (P),ATL,pitcher,8048,67.5,3.89,1.22,31,4,81,7.57,13.240000000000002,drafted,20.200192859101264,64.15,12
Will Smith (P),ATL,pitcher,8048,67.5,3.89,1.22,31,4,81,7.57,13.240000000000002,drafted,20.200192859101264,67.15,12
Will Smith (P),ATL,pitcher,8048,67.5,3.89,1.22,31,4,81,7.57,13.240000000000002,drafted,20.200192859101264,64.15,12
Will Smith (P),ATL,pitcher,8048,67.5,3.89,1.22,31,4,81,7.57,13.240000000000002,drafted,20.200192859101264,67.15,12
Chris Bassitt,OAK,pitcher,12304,173.5,3.87,1.2,0,10,164,7.36,12.850000000000001,drafted,19.605172072466107,132.08,9
Trevor Rogers,MIA,pitcher,22286,151.5,3.58,1.22,0,10,168,7.29,12.710000000000003,drafted,19.391574867007336,84.85,7
Shane McClanahan,TBR,pitcher,21483,148,3.67,1.23,0,11,163,7.15,12.470000000000002,drafted,19.025408229078007,NA,6
Giovanny Gallegos,STL,pitcher,14986,69.5,3.48,1.11,25,4,82,7.12,12.400000000000002,drafted,18.91860962634862,82.54,11
Shohei Ohtani,LAA,pitcher,19755,148.5,3.65,1.2,0,9,173,7.11,12.400000000000002,drafted,18.91860962634862,11.23,28
Framber Valdez,HOU,pitcher,17295,180.5,3.68,1.34,0,12,168,6.95,12.110000000000003,drafted,18.476158272184016,142.92,11
Blake Treinen,LAD,pitcher,12572,68.5,3.49,1.23,26,5,75,6.88,11.970000000000002,drafted,18.26256106672524,145.92,11
Blake Snell,SDP,pitcher,13543,148.5,3.77,1.26,0,10,180,6.85,11.920000000000002,drafted,18.186276350489962,109.08,18
Clayton Kershaw,NA,pitcher,2036,136,3.61,1.15,0,10,142,6.78,11.780000000000003,drafted,17.97267914503119,178.23,20
Alek Manoah,TOR,pitcher,26410,148.5,3.93,1.21,0,10,166,6.69,11.630000000000003,drafted,17.74382499632536,NA,11
Hyun Jin Ryu,TOR,pitcher,14444,167.5,4,1.24,0,12,145,6.66,11.570000000000002,drafted,17.652283336843027,203.08,12
Pablo López,MIA,pitcher,17085,150,3.71,1.19,0,9,149,6.45,11.180000000000001,drafted,17.057262550207867,141.92,8
Taylor Rogers,MIN,pitcher,13449,63,3.04,1.11,22,4,79,6.45,11.180000000000001,drafted,17.057262550207867,162.77,10
Lance McCullers Jr.,HOU,pitcher,14120,149,3.64,1.28,0,10,162,6.34,10.990000000000002,drafted,16.767380628513816,176.23,10
Tarik Skubal,DET,pitcher,22267,156.5,4.14,1.25,0,10,170,6.18,10.690000000000001,drafted,16.309672331102156,183,6
