"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Brendon Davis","LAA","7","27","25","6","1","0","1","3","3","2","7","0","0","0","",".236",".297",".393",".690",".299","88","","0.1","","999.0","","5.65","1.90","1.93","sa875089"
"Nick Maton","PHI","20","71","63","14","3","0","1","7","7","7","20","1","1","0","",".218",".300",".335",".634",".282","73","","0.0","","999.0","","3.15","0.51","1.76","21635"
"Ronald Torreyes","PHI","52","186","174","42","8","1","3","18","17","9","23","2","1","1","",".244",".287",".343",".630",".275","69","","0.0","","596.9","","1.81","1.48","1.43","11400"
"Lucius Fox","WSN","14","56","50","11","3","0","1","6","4","5","15","1","2","1","",".222",".307",".320",".627",".280","72","","0.0","","999.0","","3.27","1.68","1.88","sa914200"
"Jeter Downs","BOS","7","27","24","6","2","0","1","3","3","2","7","0","0","0","",".232",".292",".363",".655",".285","74","","0.0","","598.9","","4.77","1.93","1.94","sa3004615"
"Omar Estévez","LAD","6","26","23","5","1","0","1","3","3","2","7","0","0","0","",".227",".286",".364",".650",".282","76","","0.0","","999.0","","2.85","0.53","1.93","sa914242"
"Ehire Adrianza","","60","181","161","39","8","1","3","21","17","16","37","2","1","0","",".244",".317",".366",".683",".300","83","","0.0","","999.0","","1.77","0.19","1.37","8418"
"José Rondón","","18","52","48","11","2","0","2","6","6","4","12","0","1","0","",".230",".284",".392",".675",".290","81","","0.0","","999.0","","3.00","0.17","1.83","14140"
"Pat Valaika","","45","146","136","30","6","0","4","14","15","8","39","1","1","0","",".221",".266",".364",".630",".272","68","","0.0","","999.0","","2.73","0.93","1.42","14885"
"Richie Martin","BAL","25","90","81","18","3","1","2","8","7","6","22","1","2","0","",".217",".278",".328",".607",".267","65","","-0.1","","999.0","","3.07","-0.57","1.73","17736"
"Asdrúbal Cabrera","CIN","59","228","203","48","11","1","7","26","27","21","51","2","1","0","",".235",".309",".392",".700",".302","83","","-0.1","","599.8","","2.17","1.44","1.07","4962"
"Jordy Mercer","","36","126","116","28","6","0","3","13","13","8","27","1","0","0","",".238",".294",".363",".657",".280","71","","-0.1","","999.0","","1.76","0.31","1.57","6547"
"Chris Owings","","17","56","52","11","2","0","1","6","6","4","17","0","2","0","",".217",".281",".362",".642",".274","56","","-0.1","","600.7","","2.41","1.84","1.83","10030"
"Scott Kingery","PHI","48","155","142","31","7","1","5","16","15","11","51","2","2","1","",".217",".278",".374",".651",".282","73","","-0.1","","600.3","","2.83","0.46","1.41","17975"
"Wilmer Difo","","42","134","120","29","4","1","2","14","11","11","29","1","1","0","",".238",".298",".341",".639",".273","69","","-0.2","","999.0","","2.44","-0.13","1.57","14320"
"Ian Desmond","COL","29","112","102","23","4","1","3","13","12","8","29","1","2","1","",".229",".291",".385",".676",".293","69","","-0.3","","999.0","","4.77","1.90","1.58","6885"
