"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Daniel Vogelbach","","49","175","147","34","6","0","7","22","21","27","41","1","0","0","",".231",".352",".417",".769",".337","109","","0.3","","600.3","","2.93","1.85","1.22","14130"
"Owen Miller","CLE","45","175","162","40","8","1","4","19","18","11","42","2","1","0","",".250",".301",".380",".681",".295","86","","0.2","","600.5","","3.08","0.15","1.45","24655"
"Ronald Guzmán","","50","182","163","37","7","1","7","21","21","16","51","2","1","1","",".229",".304",".407",".711",".308","95","","0.2","","999.0","","1.80","3.37","1.24","14388"
"Colton Welker","COL","79","276","252","67","14","1","7","33","35","21","61","2","1","1","",".266",".326",".418",".744",".321","87","","0.2","","592.2","","3.85","0.44","1.10","19961"
"Renato Núñez","","25","98","89","21","4","0","4","12","13","7","26","2","0","0","",".239",".306",".439",".746",".320","103","","0.1","","599.6","","5.87","3.48","1.59","14503"
"Matt Beaty","LAD","84","272","245","62","12","1","8","35","34","20","51","7","2","1","",".255",".327",".412",".739",".322","102","","0.1","","581.9","","1.50","0.05","0.98","17710"
"Taylor Jones","HOU","24","92","82","19","4","0","3","10","11","8","24","1","0","0","",".238",".311",".390",".701",".305","95","","0.1","","999.0","","3.94","1.94","1.65","19533"
"Edwin Ríos","LAD","41","143","129","29","6","0","7","18","20","11","47","2","0","0","",".222",".294",".435",".729",".312","96","","0.1","","569.6","","6.86","0.77","1.31","18316"
"Kevin Padlo","SEA","15","43","39","8","2","0","1","5","5","4","16","0","0","0","",".201",".276",".359",".635",".277","78","","0.1","","600.3","","3.60","1.50","1.82","16593"
"Alfonso Rivas","CHC","37","138","123","31","6","0","2","15","13","13","35","2","1","0","",".251",".332",".362",".694",".307","92","","0.1","","999.0","","2.61","1.25","1.58","21560"
"Ryan Zimmerman","","47","164","150","36","8","0","7","19","23","12","42","1","0","0","",".242",".300",".431",".730",".313","93","","0.1","","600.7","","3.94","0.30","1.33","4220"
"Danny Santana","","44","171","157","37","8","1","6","21","20","11","49","2","5","2","",".233",".289",".406",".695",".297","82","","0.0","","999.0","","3.99","1.73","1.44","10322"
"Evan White","SEA","56","220","202","45","8","1","8","24","26","15","67","2","1","1","",".222",".282",".386",".668",".289","86","","0.0","","596.6","","2.36","0.45","1.04","20078"
"Colin Moran","","105","406","364","91","17","1","13","44","52","35","98","3","1","0","",".250",".319",".409",".728",".315","97","","0.0","","581.6","","6.98","-0.45","0.53","16909"
"Tyler Nevin","BAL","21","77","70","16","3","0","2","8","8","6","18","1","0","0","",".233",".301",".379",".681",".297","85","","0.0","","999.0","","4.62","1.89","1.73","17893"
"Jake Lamb","","56","205","179","38","8","1","7","24","24","23","57","3","1","0","",".215",".310",".387",".697",".299","85","","0.0","","999.0","","1.91","-0.04","1.04","13329"
"Ryan O'Hearn","KCR","30","110","99","23","5","0","5","12","14","10","29","0","0","0","",".228",".296",".421",".717",".307","92","","0.0","","599.6","","5.27","0.56","1.54","16442"
"John Nogowski","ATL","44","158","140","34","6","0","3","17","16","15","26","2","1","0","",".243",".324",".359",".683",".302","88","","0.0","","600.8","","1.81","3.32","1.46","16852"
"Willians Astudillo","","12","38","37","9","2","0","1","4","4","1","2","1","0","0","",".252",".281",".387",".668",".286","80","","0.0","","600.9","","3.96","0.93","1.91","15608"
"Justin Smoak","","23","94","81","17","3","0","4","11","11","11","24","1","0","0","",".215",".318",".401",".719",".313","93","","0.0","","999.0","","1.59","0.18","1.58","9054"
"Jake Noll","WSN","8","26","24","7","1","0","1","3","3","1","5","0","0","0","",".270",".308",".374",".681",".297","82","","0.0","","999.0","","5.38","2.53","1.97","19703"
"Michael Chavis","PIT","114","436","403","97","18","2","15","52","52","24","131","7","4","2","",".240",".291",".410",".701",".301","88","","-0.2","","534.7","","3.57","0.30","0.32","17321"
"Jake Bauers","CIN","24","78","69","15","3","0","1","8","7","8","20","1","2","1","",".218",".306",".310",".616",".278","67","","-0.2","","600.8","","6.68","0.54","1.75","15194"
"Albert Pujols","","47","168","157","37","6","0","7","16","23","8","27","2","1","0","",".235",".277",".409",".687",".290","81","","-0.4","","597.4","","1.83","1.52","1.34","1177"
