"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Nick Ahmed","ARI","117","471","424","101","24","3","10","50","48","37","96","3","6","3","",".239",".302",".378",".680",".295","81","","0.3","-1.3","","-11.4","4.5","0.9","","567.3","12147"
"Brad Miller","","92","377","328","78","14","2","16","47","48","41","103","3","3","1","",".236",".324",".437",".761",".327","105","","-0.8","-2.5","","1.7","-5.7","0.9","","552.4","12775"
"Kevin Newman","PIT","94","368","339","90","17","2","5","38","36","21","36","3","5","2","",".267",".313",".374",".687",".298","85","","0.1","-0.3","","-6.8","2.6","0.8","","594.3","17696"
"Starlin Castro","","65","269","247","67","13","1","6","29","30","17","48","2","1","0","",".272",".321",".405",".727",".314","97","","-0.3","-2.1","","-1.4","-1.0","0.7","","596.7","4579"
"Tyler Wade","LAA","75","298","264","62","12","1","4","32","27","26","70","4","17","6","",".234",".309",".341",".650",".287","80","","1.2","-2.2","","-6.2","0.7","0.5","","462.7","15730"
"Jose Barrero","CIN","37","148","135","34","7","1","5","17","18","9","35","2","3","1","",".253",".308",".425",".733",".315","91","","0.0","-0.2","","-1.7","1.4","0.5","","428.6","23378"
"Sergio Alcántara","CHC","57","223","194","45","7","2","4","23","21","24","55","2","3","1","",".231",".318",".345",".663",".293","80","","-0.2","0.3","","-5.8","2.3","0.4","","999.0","16417"
"Cole Tucker","PIT","81","331","294","69","14","2","6","35","31","30","74","2","7","3","",".236",".309",".364",".672",".295","84","","0.1","1.1","","-6.9","-0.4","0.4","","561.5","17326"
"Vimael Machín","OAK","42","168","148","35","6","1","3","17","15","15","31","2","1","0","",".239",".315",".351",".666",".293","88","","-0.1","-0.4","","-2.6","0.5","0.4","","999.0","17684"
"Nick Allen","OAK","58","236","218","52","11","1","3","22","21","13","46","2","5","2","",".239",".288",".343",".630",".276","77","","-0.1","0.0","","-6.9","2.1","0.3","","999.0","sa3004723"
"Danny Mendick","CHW","39","153","137","32","6","0","4","17","16","12","32","1","2","1","",".237",".305",".365",".670",".294","85","","-0.1","0.1","","-2.8","0.8","0.3","","999.0","18889"
"Marwin Gonzalez","","83","335","300","72","15","1","9","36","36","25","77","5","3","1","",".239",".306",".381",".688",".300","88","","-0.6","-0.7","","-5.8","-2.3","0.3","","999.0","5497"
"Ronald Torreyes","PHI","45","179","165","42","8","1","3","18","18","9","24","2","1","1","",".255",".299",".370",".669",".289","81","","0.0","0.3","","-4.3","1.3","0.3","","596.9","11400"
"Alan Trejo","COL","78","307","285","72","16","2","9","35","37","16","66","2","4","2","",".254",".296",".422",".719",".307","77","","-0.4","-1.9","","-9.2","1.7","0.3","","999.0","20056"
"Ehire Adrianza","","45","181","160","40","8","1","3","20","18","15","36","3","1","0","",".247",".319",".376",".695",".305","91","","-0.1","-1.1","","-2.2","-1.4","0.2","","999.0","8418"
"Michael Stefanic","LAA","16","66","60","16","3","0","1","7","7","4","10","1","1","0","",".274",".330",".397",".727",".316","99","","-0.1","0.0","","-0.1","0.3","0.2","","999.0","sa3008479"
"Andrew Velazquez","LAA","34","135","122","28","6","1","3","15","14","10","38","1","6","2","",".230",".289",".364",".654",".285","78","","0.3","-0.7","","-3.3","1.0","0.2","","999.0","14196"
"Jack Mayfield","LAA","36","141","130","30","6","0","5","16","17","8","31","2","2","1","",".234",".286",".397",".683",".294","84","","-0.2","-0.7","","-2.9","0.4","0.2","","999.0","15402"
"Oswaldo Cabrera","NYY","21","85","79","19","3","0","3","10","11","5","20","1","2","1","",".236",".285",".405",".690",".296","87","","0.0","0.0","","-1.4","0.7","0.2","","999.0","sa916954"
"Asdrúbal Cabrera","CIN","62","257","229","54","12","1","7","29","29","24","58","2","1","0","",".235",".310",".388",".698",".304","90","","-1.3","-0.3","","-4.5","-1.9","0.2","","599.8","4962"
"Niko Goodrum","","57","235","209","44","9","1","6","25","23","22","74","2","7","3","",".213",".291",".354",".644",".283","76","","0.5","-1.5","","-6.5","0.5","0.2","","562.8","12092"
"Geraldo Perdomo","ARI","24","97","86","20","4","1","1","10","9","9","20","1","2","1","",".237",".314",".348",".662",".292","79","","-0.1","0.1","","-2.7","1.3","0.2","","596.2","22799"
"Oswald Peraza","NYY","13","53","48","12","2","0","1","6","6","3","11","1","2","1","",".254",".301",".388",".689",".299","89","","0.0","0.0","","-0.7","0.6","0.2","","599.8","sa3003305"
"Alcides Escobar","WSN","118","485","447","110","24","2","8","48","49","26","89","7","4","2","",".246",".295",".362",".657",".287","76","","0.3","-3.5","","-14.7","0.4","0.2","","582.3","6310"
"Willi Castro","DET","16","66","60","15","3","1","2","7","7","4","15","1","1","1","",".253",".303",".399",".702",".303","91","","0.0","-0.3","","-0.7","0.1","0.2","","525.6","17338"
"José Peraza","NYY","31","121","111","28","5","0","3","13","13","6","18","2","2","1","",".252",".299",".372",".671",".292","84","","0.1","-1.4","","-2.3","-0.3","0.2","","600.8","13593"
"Jordy Mercer","","42","168","154","36","8","0","3","17","17","11","39","2","1","0","",".237",".291",".363",".654",".285","78","","-0.2","0.0","","-4.9","0.7","0.1","","999.0","6547"
"Jordan Groshans","TOR","15","59","53","14","3","0","1","7","6","4","11","1","0","0","",".253",".312",".383",".695",".303","87","","0.0","0.0","","-1.0","0.3","0.1","","600.4","sa3006893"
