"PlayerName","NFBC_ADP","playerid"
"Ryan McMahon",164,"15112"
"Avisail Garcia",164.23,NA
"Eddie Rosario",164.54,"12155"
"Gregory Soto",164.92,"19677"
"Sonny Gray",165.15,"12768"
"Hunter Renfroe",165.31,"15464"
"Max Muncy",166,"13301"
"David Bednar",166.62,"19569"
"Justin Turner",169.38,"5235"
"Ranger Suarez",171.23,NA
"Robbie Grossman",171.31,"5254"
"Robbie Grossman",171.31,"5254"
"Kolten Wong",172.62,"12532"
"Brendan Rodgers",174.15,"17907"
"Lance McCullers Jr.",176.23,"14120"
"Dylan Carlson",176.62,"20126"
"Clayton Kershaw",178.23,"2036"
"Andrew Benintendi",178.77,"17901"
"Jean Segura",180.08,"5933"
"Adolis Garcia",180.62,NA
"Luis Severino",182.23,"15890"
"Tarik Skubal",183,"22267"
"Anthony Rizzo",184.85,"3473"
"Ian Happ",187.46,"17919"
"Marcus Stroman",188.08,"13431"
"Matt Chapman",188.62,"16505"
"Joey Gallo",194,"14128"
"Nelson Cruz",194.38,"2434"
"Trey Mancini",194.54,"15149"
"Patrick Sandoval",195.46,"19447"
"Marcell Ozuna",195.69,"10324"
"Alex Kirilloff",196,"20325"
"Mitch Garver",196.23,"15161"
"Lucas Sims",197.31,"13470"
"Michael Conforto",197.62,"16376"
"Tanner Houck",198.23,"19879"
"Jordan Montgomery",201.15,"16511"
"Jonathan Schoop",201.31,"11265"
"Hyun Jin Ryu",203.08,"14444"
"Jorge Soler",203.15,"14221"
"Joe Barlow",203.62,"22296"
"Mike Clevinger",204.08,"12808"
"Eugenio Suarez",205.54,NA
"Seiya Suzuki",206.62,"sa3018052"
"Josh Donaldson",207.31,"5038"
"Yuli Gurriel",207.31,"19198"
"Eduardo Escobar",207.38,"6153"
"Adley Rutschman",207.62,"sa3011643"
"Dylan Floro",208.15,"13394"
"Brandon Crawford",209.69,"5343"
"Oneil Cruz",210.38,"21711"
"AJ Pollock",211.46,"9256"
"AJ Pollock",211.46,"9256"
"Jeimer Candelario",215.77,"13621"
"Alex Wood",216.23,"13781"
"Adam Wainwright",216.62,"2233"
"Harrison Bader",217.23,"18030"
"Joe Ryan",220.15,"21390"
"Anthony DeSclafani",220.38,"13050"
"Brandon Belt",220.69,"10264"
"John Means",222.38,"16269"
"Garrett Whitlock",224,"20191"
"Bobby Dalbec",224.69,"19966"
"Jose Urquidy",225.85,NA
"Enrique Hernandez",225.85,NA
"Triston McKenzie",226.92,"18000"
"Jesus Sanchez",227.23,NA
"Nathaniel Lowe",227.23,"19566"
"Josh Rojas",227.69,"19734"
"Austin Hays",227.85,"19363"
"Christian Vazquez",228,NA
"Alex Cobb",228.23,"6562"
"Gavin Lux",228.69,"19955"
"Ramon Laureano",229.38,NA
"Nicky Lopez",231.77,"19339"
"Alejandro Kirk",232.38,"22581"
"Travis d'Arnaud",236.62,"7739"
"Adam Duvall",236.62,"10950"
"Frank Schwindel",237.69,"15351"
"Noah Syndergaard",238.38,"11762"
"Charlie Blackmon",238.77,"7859"
"Huascar Ynoa",240.92,"20468"
"Tommy Pham",243.31,"2967"
"Jo Adell",244.62,"20220"
"Jon Gray",246.92,"14916"
"Andres Gimenez",247,NA
"Lou Trivino",247.46,"15043"
"Lane Thomas",247.92,"16939"
"Trevor Bauer",248.62,"12703"
"Steven Matz",249.23,"13361"
"Michael Brantley",249.69,"4106"
"Bailey Ober",250.92,"21224"
"Sean Murphy",253.15,"19352"
"Elias Diaz",253.46,NA
"Raimel Tapia",253.92,"14350"
"Miguel Sano",254.69,NA
"Jake McGee",254.77,"7550"
"Andrew Vaughn",257.08,"26197"
"Abraham Toro",259,"19844"
"Andrew Kittredge",259.38,"12828"
"Garrett Hampson",260.62,"19262"
"Matt Barnes",261.23,"12863"
"Gary Sanchez",263.62,NA
"Jonathan Villar",264.92,"10071"
"Spencer Torkelson",266.23,NA
"Anthony Santander",267.69,"14551"
"Mark Canha",268.31,"11445"
"Omar Narvaez",271.85,NA
"Josiah Gray",272.77,"24580"
"Luke Voit",273.31,"14811"
"Drew Rasmussen",273.46,"25385"
"Wil Myers",273.85,"10047"
"Max Kepler",275.38,"12144"
"Aaron Ashby",275.46,"23550"
"Casey Mize",276.85,"20492"
"Julio Rodriguez",276.92,NA
"Cal Quantrill",277.54,"19312"
"German Marquez",280,NA
"Aaron Civale",280.23,"19479"
"Andrew Heaney",280.31,"15423"
"Carson Kelly",281.08,"13620"
"Mike Zunino",283.85,"13265"
"Jesus Aguilar",283.92,NA
"Mike Yastrzemski",284.62,"14854"
"Carlos Carrasco",284.77,"6632"
"Brandon Nimmo",284.77,"12927"
"Kyle Hendricks",285.15,"12049"
"Cavan Biggio",286,"19252"
"Ken Giles",287.38,"12910"
"Rowan Wick",289.08,"14646"
"Nick Madrigal",289.77,"20521"
"Gio Urshela",290.31,"10681"
"Gio Urshela",290.31,"10681"
"Josh Jung",291.23,NA
"Max Stassi",292.69,"10059"
"Jesus Luzardo",293.46,NA
"Devin Williams",293.62,"15816"
"Alec Bohm",294.38,"21618"
"Jameson Taillon",294.69,"11674"
"Rowdy Tellez",295.23,"15679"
"Riley Greene",296.54,"sa3010694"
"Paul Sewald",300.23,"13892"
"Luis Patino",301.77,NA
"Danny Jansen",302.23,"16535"
"Luis Arraez",302.92,"18568"
"Ian Kennedy",304.38,"6986"
"Rafael Ortega",304.54,"10323"
"Tylor Megill",306.31,"21318"
"LaMonte Wade Jr.",306.69,"18126"
"Stephen Strasburg",306.92,"10131"
"Eric Lauer",307.85,"19316"
"Kyle Lewis",309,"19508"
"Yadier Molina",310.69,"7007"
"Joey Bart",311.77,"21524"
"Eric Haase",312.23,"14111"
"Eric Haase",312.23,"14111"
"Jeff McNeil",313.62,"15362"
"Tony Gonsolin",315.69,"19388"
"Cesar Hernandez",316.23,NA
"James McCann",318.15,"12859"
"J.P. Crawford",320.08,"15491"
"Manuel Margot",321.85,"14712"
"Cristian Javier",322,"17606"
"Yusei Kikuchi",322.92,"20633"
"Miguel Rojas",323.38,"7802"
"Brandon Marsh",323.46,"20202"
"Adam Frazier",324.15,"15223"
"Marco Gonzales",324.23,"15467"
"Connor Joe",325.69,"16572"
"Tyler Naquin",325.69,"13359"
"Yoshi Tsutsugo",326.31,"27459"
"Yoshi Tsutsugo",326.31,"27459"
"Michael Fulmer",326.85,"13218"
"Patrick Wisdom",327.69,"13602"
"Nick Pivetta",328.38,"15454"
"Elieser Hernandez",330.62,"16933"
"Vidal Brujan",330.77,NA
"Zach Plesac",335.62,"19979"
"Lorenzo Cain",336.08,"9077"
"David Fletcher",337,"17992"
"Eric Hosmer",338.69,"3516"
"Andrew McCutchen",340.08,"9847"
"Randal Grichuk",342.38,"10243"
"Zack Greinke",343.62,"1943"
"Hunter Dozier",344.38,"15117"
"Evan Longoria",344.92,"9368"
"Adbert Alzolay",345.31,"17859"
"Tanner Rainey",345.46,"17610"
"Mike Moustakas",345.77,"4892"
"Yandy Diaz",349.69,NA
"Austin Nola",350.15,"15941"
"Ha-Seong Kim",350.92,"27506"
"James Kaprielian",351.23,"18331"
"Joey Wendle",351.69,"13853"
"Taijuan Walker",353.69,"11836"
"Corey Kluber",354.77,"2429"
"Yan Gomes",356.54,"9627"
"Alex Reyes",359.54,"15015"
"Tyler Wells",359.92,"20000"
"Dominic Smith",360.08,"15653"
"Nestor Cortes Jr.",363.69,NA
"Jose Barrero",363.77,"23378"
"Jose Barrero",363.77,"23378"
"Kyle Finnegan",365.23,"15009"
"Josh Lowe",365.69,"19953"
"Isiah Kiner-Falefa",366.46,"16512"
"Sixto Sanchez",367.08,NA
"Kyle Gibson",367.69,"10123"
"Pavin Smith",369.77,"19892"
"Jarren Duran",370,"24617"
"Nick Solak",370.38,"19294"
"Jacob Stallings",372.08,"13723"
"Chris Paddack",374.38,"20099"
"Brian Anderson",375.15,"18289"
"Carlos Hernandez",377.15,NA
"Wilmer Flores",377.38,"5827"
"Willie Calhoun",377.46,"17838"
"Dane Dunning",378.23,"19409"
"Diego Castillo",378.46,"sa872839"
"Diego Castillo",378.46,"17496"
"Diego Castillo",378.46,"17496"
