"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Hanser Alberto","","35","106","100","26","5","1","2","11","11","3","13","1","1","0","",".262",".290",".376",".665",".287","78","","0.1","","600.4","11902"
"Pablo Reyes","MIL","18","56","51","12","3","0","1","6","6","4","11","0","1","0","",".233",".294",".372",".666",".289","78","","0.1","","999.0","16357"
"Brock Holt","","59","218","194","44","9","1","2","22","17","20","43","2","2","1","",".227",".305",".310",".615",".276","71","","0.1","","999.0","9345"
"Alejo Lopez","CIN","9","29","26","7","1","0","0","3","3","2","4","0","0","0","",".270",".329",".367",".696",".305","84","","0.1","","999.0","21127"
"Kevin Padlo","SEA","15","43","38","7","2","0","1","4","5","4","14","0","0","0","",".193",".279",".359",".638",".278","79","","0.1","","600.3","16593"
"Marwin Gonzalez","","61","230","208","47","9","1","5","24","22","17","55","3","2","1","",".227",".295",".351",".645",".283","76","","0.0","","999.0","5497"
"Edwin Ríos","LAD","41","143","129","29","6","0","6","18","19","11","47","2","0","0","",".222",".292",".414",".706",".303","91","","0.0","","569.6","18316"
"Jason Vosler","SFG","12","39","35","7","2","0","1","4","4","3","10","1","0","0","",".215",".289",".366",".656",".286","80","","0.0","","999.0","16686"
"Emmanuel Rivera","KCR","22","84","78","20","4","0","2","9","9","5","16","1","1","0","",".253",".302",".391",".693",".299","86","","0.0","","999.0","19890"
"Drew Ellis","ARI","31","113","100","21","5","0","3","12","12","11","33","1","0","0","",".211",".294",".363",".656",".288","76","","0.0","","999.0","19873"
"Matt Carpenter","","60","198","167","35","9","1","6","22","22","27","58","3","1","0","",".208",".326",".377",".703",".309","93","","0.0","","999.0","8090"
"Jedd Gyorko","","4","16","14","3","1","0","1","2","2","2","4","0","0","0","",".235",".312",".418",".730",".315","98","","0.0","","999.0","10816"
"Erik González","MIA","4","13","12","3","1","0","0","1","1","1","3","0","0","0","",".244",".280",".339",".620",".270","70","","0.0","","600.0","13369"
"José Rondón","","18","52","48","11","2","0","1","6","5","3","13","0","1","0","",".228",".283",".370",".653",".283","79","","0.0","","999.0","14140"
"Phillip Evans","PIT","3","11","10","2","0","0","0","1","1","1","2","0","0","0","",".239",".311",".367",".678",".298","86","","0.0","","999.0","12950"
"Adrián Sanchez","WSN","5","13","12","3","1","0","0","1","1","1","2","0","0","0","",".239",".284",".337",".621",".270","65","","0.0","","999.0","11338"
"Charlie Culberson","","61","194","179","41","8","1","4","21","18","12","51","2","3","1","",".231",".283",".355",".638",".277","72","","0.0","","597.2","3298"
"Willians Astudillo","","12","38","36","9","2","0","1","4","4","1","3","1","0","0","",".252",".287",".380",".667",".287","80","","0.0","","600.9","15608"
"Isan Díaz","MIA","35","129","113","24","5","0","3","13","12","13","36","1","1","0","",".208",".296",".346",".643",".281","78","","0.0","","600.7","17922"
"Maikel Franco","WSN","34","132","122","28","5","0","4","13","16","8","22","1","0","0","",".230",".281",".382",".662",".284","74","","-0.1","","600.0","12179"
"Kelvin Gutierrez","BAL","93","362","333","79","13","2","6","38","31","24","93","3","4","1","",".237",".292",".344",".637",".280","73","","-0.1","","597.3","17468"
"Ronald Torreyes","PHI","52","186","173","41","7","1","2","17","16","9","25","1","1","0","",".234",".276",".318",".594",".260","61","","-0.1","","596.9","11400"
