"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Michael Hermosillo","CHC","37","134","118","26","5","1","5","16","14","11","42","3","3","1","",".222",".306",".389",".696",".304","88","","0.3","","599.0","16285"
"Yoshi Tsutsugo","PIT","118","460","398","89","21","1","16","50","55","55","118","3","1","0","",".224",".320",".401",".721",".314","96","","0.3","","367.4","27459"
"Phil Gosselin","","49","189","173","44","8","1","4","21","19","13","42","1","2","1","",".254",".310",".388",".697",".303","90","","0.3","","590.4","10953"
"Matt Vierling","PHI","100","355","325","82","16","2","9","42","37","23","83","4","7","2","",".252",".307",".396",".703",".304","87","","0.2","","558.6","21558"
"Heliot Ramos","SFG","35","142","129","32","7","1","3","16","14","10","41","2","2","0","",".245",".306",".386",".692",".300","89","","0.2","","999.0","sa3004693"
"Scott Kingery","PHI","48","155","142","32","7","1","5","18","18","11","46","2","3","1","",".228",".288",".400",".688",".296","82","","0.2","","600.3","17975"
"Travis Jankowski","","43","130","114","27","4","1","0","15","8","14","27","1","5","1","",".241",".327",".306",".632",".283","76","","0.2","","999.0","13768"
"Romy Gonzalez","CHW","26","99","90","21","4","0","3","12","11","8","30","1","2","0","",".228",".294",".381",".674",".292","84","","0.2","","999.0","21562"
"Eli White","TEX","34","133","119","27","5","1","3","15","12","10","38","2","3","1","",".223",".294",".358",".652",".286","81","","0.2","","999.0","19346"
"Travis Swaggerty","PIT","41","165","147","33","7","1","4","17","15","15","44","1","3","1","",".224",".299",".355",".654",".287","78","","0.2","","597.0","sa3007512"
"Aaron Altherr","","26","104","92","20","4","0","3","12","11","10","30","2","1","0","",".220",".306",".385",".690",".302","89","","0.2","","999.0","11270"
"Nomar Mazara","","74","289","260","63","12","1","9","32","34","23","65","3","1","0","",".244",".311",".399",".710",".307","94","","0.2","","600.2","14553"
"Dexter Fowler","","81","302","261","57","12","1","7","34","28","35","79","4","3","1","",".220",".319",".356",".675",".299","87","","0.2","","999.0","4062"
"Brian Goodwin","","41","153","135","31","7","1","4","18","17","15","41","1","2","0","",".230",".312",".391",".703",".306","91","","0.2","","600.6","12858"
"Jace Peterson","MIL","61","225","197","45","9","1","5","27","22","25","55","2","5","1","",".230",".320",".364",".684",".302","85","","0.1","","550.3","12325"
"Khalil Lee","NYM","25","82","71","15","3","0","2","10","7","9","28","2","2","0","",".213",".314",".340",".654",".293","87","","0.1","","596.7","19952"
"Brent Rooker","MIN","80","321","284","62","14","1","12","38","37","29","107","6","1","0","",".220",".305",".398",".703",".305","92","","0.1","","600.0","19627"
"Cooper Hummel","ARI","38","150","130","31","7","1","4","18","16","16","36","3","1","0","",".235",".330",".381",".712",".313","93","","0.1","","999.0","sa918412"
"Shed Long Jr.","","49","193","174","39","8","1","4","21","18","16","52","1","3","1","",".225",".294",".357",".652",".285","78","","0.1","","999.0","16542"
"Gilberto Celestino","MIN","16","57","52","13","3","0","1","6","6","4","12","0","1","0","",".248",".307",".380",".687",".298","87","","0.1","","999.0","20233"
