"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Manny Piña","ATL","74","253","227","54","10","0","10","30","31","20","57","4","0","0","",".239",".308",".420",".729",".314","93","","1.5","","553.2","2829"
"Elias Díaz","COL","104","381","348","90","17","1","15","46","51","28","67","3","0","0","",".260",".317",".445",".761",".326","90","","1.4","","246.6","11680"
"Kevin Plawecki","BOS","68","239","215","53","10","0","6","27","26","17","43","4","0","0","",".247",".313",".388",".701",".305","88","","1.4","","576.1","13807"
"Cal Raleigh","SEA","73","275","252","54","12","1","10","27","31","18","71","2","1","0","",".215",".273",".382",".655",".282","81","","1.4","","539.8","21534"
"Tom Murphy","SEA","76","276","246","51","10","1","12","30","34","25","88","3","1","0","",".207",".285",".396",".681",".295","90","","1.4","","491.5","13499"
"Christian Vázquez","BOS","115","442","406","99","18","1","10","49","44","29","79","3","5","3","",".243",".296",".362",".659",".287","76","","1.3","","202.0","9774"
"Yan Gomes","CHC","83","319","289","72","14","1","11","35","39","21","70","5","1","0","",".250",".308",".420",".729",".312","93","","1.2","","377.2","9627"
"Austin Nola","SDP","93","350","314","79","16","1","8","38","37","28","58","5","1","0","",".250",".319",".382",".701",".306","94","","1.2","","361.9","15941"
"Tucker Barnhart","DET","110","392","348","75","15","1","8","36","37","36","93","4","0","0","",".214",".294",".334",".628",".276","73","","1.2","","399.6","10200"
"Austin Hedges","CLE","96","347","316","63","11","0","12","32","38","23","98","4","2","1","",".199",".258",".352",".610",".264","64","","1.2","","580.3","12976"
"Curt Casali","SFG","81","273","240","52","10","0","8","28","29","28","75","3","1","0","",".217",".306",".362",".668",".292","84","","1.2","","591.4","12510"
"Jacob Stallings","MIA","113","422","376","87","17","0","8","40","39","37","92","4","0","0","",".230",".304",".337",".641",".284","80","","1.1","","379.2","13723"
"Jason Castro","HOU","50","172","146","33","7","0","7","22","21","21","54","2","0","0","",".222",".326",".411",".737",".320","105","","1.1","","592.4","8722"
"Francisco Mejía","TBR","78","275","251","59","12","1","9","29","33","18","58","5","1","0","",".233",".294",".397",".690",".297","92","","1.1","","414.0","16403"
"Joey Bart","SFG","95","357","330","76","15","1","9","38","37","20","107","5","1","0","",".230",".283",".368",".651",".283","78","","1.1","","265.8","21524"
"Victor Caratini","SDP","66","233","207","49","9","0","6","24","26","21","51","3","0","0","",".238",".314",".371",".685",".298","88","","0.9","","558.1","14968"
"Martín Maldonado","HOU","112","416","361","72","13","0","12","42","43","41","116","8","1","0","",".198",".292",".332",".624",".276","75","","0.9","","549.2","6887"
