"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Zack Short","DET","17","63","55","11","3","0","2","7","6","7","18","1","0","0","",".208",".305",".371",".677",".297","87","","0.2","","999.0","19562"
"Andrelton Simmons","","109","416","380","90","15","1","3","39","33","26","58","3","3","1","",".236",".288",".307",".594",".264","64","","0.2","","590.0","10847"
"Vimael Machín","OAK","41","147","131","29","6","1","2","13","12","14","32","1","1","0","",".225",".303",".321",".624",".276","76","","0.1","","999.0","17684"
"Andrew Velazquez","LAA","35","121","110","23","5","1","3","14","10","8","38","1","4","1","",".212",".272",".341",".613",".268","67","","0.1","","999.0","14196"
"Orlando Arcia","ATL","74","269","248","62","10","1","7","31","28","18","48","1","4","1","",".250",".301",".385",".686",".296","81","","0.1","","597.5","13185"
"Jordy Mercer","","36","126","114","27","6","0","3","13","14","9","29","1","0","0","",".240",".299",".377",".675",".292","82","","0.1","","999.0","6547"
"José Devers","MIA","26","71","64","16","3","0","1","7","6","5","13","1","1","0","",".252",".310",".357",".667",".291","84","","0.1","","999.0","20540"
"Oswaldo Cabrera","NYY","15","62","57","13","3","0","2","7","6","4","15","0","1","0","",".233",".286",".386",".672",".289","82","","0.1","","999.0","sa916954"
"Jordan Groshans","TOR","16","60","54","13","3","0","1","7","6","5","14","0","0","0","",".247",".308",".382",".690",".300","85","","0.1","","600.4","sa3006893"
"Ian Desmond","COL","29","112","100","24","4","0","3","14","12","9","30","1","2","1","",".241",".306",".394",".700",".304","90","","0.1","","999.0","6885"
"Jonathan Araúz","BOS","16","59","54","13","3","0","1","7","6","5","12","0","0","0","",".235",".301",".373",".674",".294","80","","0.1","","999.0","20275"
"Donovan Walton","SEA","10","35","31","7","1","0","1","4","3","3","6","1","0","0","",".234",".307",".351",".658",".290","86","","0.1","","999.0","19314"
"Danny Mendick","CHW","51","182","164","37","7","1","3","18","16","14","39","2","2","1","",".224",".289",".329",".618",".273","72","","0.1","","999.0","18889"
"Nick Maton","PHI","20","71","63","14","3","0","2","8","7","7","19","1","1","0","",".222",".301",".355",".656",".288","77","","0.1","","999.0","21635"
"Chris Owings","","17","56","51","11","2","0","2","6","6","4","17","1","1","0","",".222",".283",".367",".649",".282","76","","0.1","","600.7","10030"
"Richie Martin","BAL","25","90","82","18","3","1","1","10","7","6","23","1","2","1","",".226",".286",".326",".612",".270","67","","0.1","","999.0","17736"
"Michael Stefanic","LAA","8","30","27","7","1","0","0","3","3","2","5","0","0","0","",".255",".315",".356",".672",".294","84","","0.1","","999.0","sa3008479"
"Marwin Gonzalez","","61","230","208","47","9","1","5","24","22","17","55","3","2","1","",".227",".295",".351",".645",".283","76","","0.0","","999.0","5497"
"Jeter Downs","BOS","7","27","24","5","1","0","1","3","3","2","7","0","1","0","",".224",".293",".392",".685",".296","82","","0.0","","598.9","sa3004615"
"Ryan Kreidler","DET","5","21","19","4","1","0","1","2","2","2","6","0","0","0","",".226",".289",".366",".655",".285","78","","0.0","","999.0","sa3010587"
"Lucius Fox","WSN","14","56","50","11","2","0","1","6","5","5","15","1","2","0","",".225",".302",".332",".633",".281","72","","0.0","","999.0","sa914200"
"Pedro Leon","HOU","5","17","15","3","1","0","0","2","2","1","5","0","0","0","",".214",".290",".345",".635",".278","77","","0.0","","999.0","sa3014838"
"Yolbert Sanchez","CHW","5","16","15","4","1","0","0","2","2","1","3","0","0","0","",".261",".307",".371",".678",".292","85","","0.0","","999.0","sa3011471"
"Brendon Davis","LAA","7","27","25","5","1","0","1","3","3","2","8","0","0","0","",".220",".287",".365",".652",".284","78","","0.0","","999.0","sa875089"
"Omar Estévez","LAD","6","26","23","5","1","0","1","3","3","2","7","0","0","0","",".229",".286",".371",".657",".285","79","","0.0","","999.0","sa914242"
"Clay Dungan","KCR","4","17","16","4","1","0","0","2","2","1","3","0","0","0","",".243",".295",".351",".646",".282","74","","0.0","","999.0","sa1169803"
"Anderson Tejeda","STL","5","14","13","3","1","0","0","2","1","1","6","0","0","0","",".196",".257",".344",".600",".261","65","","0.0","","999.0","19909"
"Erik González","MIA","4","13","12","3","1","0","0","1","1","1","3","0","0","0","",".244",".280",".339",".620",".270","70","","0.0","","600.0","13369"
"José Rondón","","18","52","48","11","2","0","1","6","5","3","13","0","1","0","",".228",".283",".370",".653",".283","79","","0.0","","999.0","14140"
"Kyle Holder","COL","4","13","12","3","1","0","0","1","1","1","3","0","0","0","",".236",".291",".347",".638",".279","59","","0.0","","999.0","sa857840"
"Cole Tucker","PIT","74","283","253","58","12","2","4","29","24","25","67","2","6","2","",".228",".301",".342",".643",".284","76","","0.0","","561.5","17326"
"Pat Valaika","","45","146","135","30","6","0","4","14","15","8","39","1","1","0","",".220",".267",".365",".632",".273","69","","0.0","","999.0","14885"
"Logan Warmoth","TOR","5","20","18","3","1","0","0","2","2","2","7","0","0","0","",".196",".277",".298",".575",".258","57","","-0.1","","999.0","sa3004813"
"Wilmer Difo","","42","134","122","28","5","1","2","14","11","10","30","1","2","1","",".233",".295",".337",".632",".277","72","","-0.1","","999.0","14320"
"Ronald Torreyes","PHI","52","186","173","41","7","1","2","17","16","9","25","1","1","0","",".234",".276",".318",".594",".260","61","","-0.1","","596.9","11400"
"Alcides Escobar","WSN","105","439","403","99","18","2","6","44","40","22","80","4","3","1","",".246",".290",".343",".633",".277","70","","-0.2","","582.3","6310"
